,Last Refresh: 2024-11-24 19:15:48,,,
Calendar Basis,,,,
Portfolio, ,원,,
Item, , ,,
Frequency,일간,KRW,,
Non-Trading Day,Previous,Asc,,
Include Weekend,ALL, ,,
Term,20071020,20241120,,
Symbol,I.001,I.101,I.201,I.253
Symbol Name,코스피,코스피 200,코스닥,코스닥 150
Kind,IDX,IDX,IDX,IDX
Item,I31000040F,I31000040F,I31000040F,I31000040F
Item Name,종가지수(포인트),종가지수(포인트),종가지수(포인트),종가지수(포인트)
Frequency,DAILY,DAILY,DAILY,DAILY
2011-07-06,"2,171.19",285.12,492.94,977.26
2011-07-07,"2,180.59",286.07,495.52,984.75
2011-07-08,"2,180.35",286.05,496.82,987.20
2011-07-09,"2,180.35",286.05,496.82,987.20
2011-07-10,"2,180.35",286.05,496.82,987.20
2011-07-11,"2,157.16",282.46,498.37,988.73
2011-07-12,"2,109.73",275.90,490.63,973.77
2011-07-13,"2,129.64",278.32,494.97,986.01
2011-07-14,"2,130.07",278.03,497.18,990.14
2011-07-15,"2,145.20",279.59,507.00,"1,009.97"
2011-07-16,"2,145.20",279.59,507.00,"1,009.97"
2011-07-17,"2,145.20",279.59,507.00,"1,009.97"
2011-07-18,"2,130.48",276.71,517.93,"1,032.23"
2011-07-19,"2,130.21",276.58,524.48,"1,048.00"
2011-07-20,"2,154.95",280.41,526.61,"1,053.28"
2011-07-21,"2,145.04",279.20,524.54,"1,050.17"
2011-07-22,"2,171.23",282.59,531.24,"1,064.36"
2011-07-23,"2,171.23",282.59,531.24,"1,064.36"
2011-07-24,"2,171.23",282.59,531.24,"1,064.36"
2011-07-25,"2,150.48",279.66,529.90,"1,065.76"
2011-07-26,"2,168.70",282.04,535.85,"1,078.05"
2011-07-27,"2,174.31",282.70,538.12,"1,076.24"
2011-07-28,"2,155.85",280.04,538.54,"1,077.61"
2011-07-29,"2,133.21",277.11,536.05,"1,070.39"
2011-07-30,"2,133.21",277.11,536.05,"1,070.39"
2011-07-31,"2,133.21",277.11,536.05,"1,070.39"
2011-08-01,"2,172.31",282.36,544.39,"1,087.90"
2011-08-02,"2,121.27",275.40,538.06,"1,074.97"
2011-08-03,"2,066.26",267.80,531.91,"1,068.47"
2011-08-04,"2,018.47",261.54,522.07,"1,045.12"
2011-08-05,"1,943.75",251.90,495.55,996.14
2011-08-06,"1,943.75",251.90,495.55,996.14
2011-08-07,"1,943.75",251.90,495.55,996.14
2011-08-08,"1,869.45",242.45,462.69,931.13
2011-08-09,"1,801.35",233.52,432.88,873.48
2011-08-10,"1,806.24",233.23,453.55,913.25
2011-08-11,"1,817.44",234.14,469.24,952.95
2011-08-12,"1,793.31",230.38,474.15,957.78
2011-08-13,"1,793.31",230.38,474.15,957.78
2011-08-14,"1,793.31",230.38,474.15,957.78
2011-08-15,"1,793.31",230.38,474.15,957.78
2011-08-16,"1,879.87",242.23,496.23,"1,000.16"
2011-08-17,"1,892.67",243.43,506.44,"1,020.90"
2011-08-18,"1,860.58",238.31,507.80,"1,026.68"
2011-08-19,"1,744.88",222.98,474.65,954.82
2011-08-20,"1,744.88",222.98,474.65,954.82
2011-08-21,"1,744.88",222.98,474.65,954.82
2011-08-22,"1,710.70",219.15,465.90,932.72
2011-08-23,"1,776.68",228.12,479.75,963.86
2011-08-24,"1,754.78",225.14,474.29,953.23
2011-08-25,"1,764.58",227.02,471.50,944.48
2011-08-26,"1,778.95",229.00,473.31,944.28
2011-08-27,"1,778.95",229.00,473.31,944.28
2011-08-28,"1,778.95",229.00,473.31,944.28
2011-08-29,"1,829.50",235.78,483.27,965.08
2011-08-30,"1,843.82",237.64,488.49,976.65
2011-08-31,"1,880.11",242.16,493.44,987.90
2011-09-01,"1,880.70",242.37,490.22,977.83
2011-09-02,"1,867.75",240.16,494.47,991.28
2011-09-03,"1,867.75",240.16,494.47,991.28
2011-09-04,"1,867.75",240.16,494.47,991.28
2011-09-05,"1,785.83",228.89,480.43,962.57
2011-09-06,"1,766.71",226.65,465.35,933.91
2011-09-07,"1,833.46",236.12,479.17,963.17
2011-09-08,"1,846.64",238.47,475.30,955.41
2011-09-09,"1,812.93",233.40,470.94,939.28
2011-09-10,"1,812.93",233.40,470.94,939.28
2011-09-11,"1,812.93",233.40,470.94,939.28
2011-09-12,"1,812.93",233.40,470.94,939.28
2011-09-13,"1,812.93",233.40,470.94,939.28
2011-09-14,"1,749.16",225.15,452.30,899.58
2011-09-15,"1,774.08",228.58,454.95,908.71
2011-09-16,"1,840.10",237.50,467.84,940.06
2011-09-17,"1,840.10",237.50,467.84,940.06
2011-09-18,"1,840.10",237.50,467.84,940.06
2011-09-19,"1,820.94",235.32,462.84,924.85
2011-09-20,"1,837.97",237.53,470.11,943.13
2011-09-21,"1,854.28",239.51,477.51,961.26
2011-09-22,"1,800.55",232.05,471.41,946.84
2011-09-23,"1,697.44",218.62,446.51,897.49
2011-09-24,"1,697.44",218.62,446.51,897.49
2011-09-25,"1,697.44",218.62,446.51,897.49
2011-09-26,"1,652.71",214.18,409.55,822.79
2011-09-27,"1,735.71",225.29,433.41,878.03
2011-09-28,"1,723.09",223.82,434.20,883.43
2011-09-29,"1,769.29",230.37,443.26,903.39
2011-09-30,"1,769.65",230.41,449.66,916.17
2011-10-01,"1,769.65",230.41,449.66,916.17
2011-10-02,"1,769.65",230.41,449.66,916.17
2011-10-03,"1,769.65",230.41,449.66,916.17
2011-10-04,"1,706.19",221.93,436.13,891.50
2011-10-05,"1,666.52",217.34,421.18,854.43
2011-10-06,"1,710.32",223.94,431.18,876.88
2011-10-07,"1,759.77",230.27,442.64,901.35
2011-10-08,"1,759.77",230.27,442.64,901.35
2011-10-09,"1,759.77",230.27,442.64,901.35
2011-10-10,"1,766.44",230.82,453.91,924.54
2011-10-11,"1,795.02",234.80,459.06,934.65
2011-10-12,"1,809.50",236.66,467.65,955.47
2011-10-13,"1,823.10",238.09,473.56,965.45
2011-10-14,"1,835.40",239.67,473.89,963.01
2011-10-15,"1,835.40",239.67,473.89,963.01
2011-10-16,"1,835.40",239.67,473.89,963.01
2011-10-17,"1,865.18",243.49,485.38,988.77
2011-10-18,"1,838.90",239.89,483.43,981.97
2011-10-19,"1,855.92",242.11,488.17,990.09
2011-10-20,"1,805.09",235.57,469.98,945.33
2011-10-21,"1,838.38",240.02,481.22,968.85
2011-10-22,"1,838.38",240.02,481.22,968.85
2011-10-23,"1,838.38",240.02,481.22,968.85
2011-10-24,"1,898.32",248.21,493.03,994.36
2011-10-25,"1,888.65",247.20,492.69,993.80
2011-10-26,"1,894.31",247.56,497.51,"1,004.79"
2011-10-27,"1,922.04",251.20,497.04,996.17
2011-10-28,"1,929.48",252.47,490.59,982.94
2011-10-29,"1,929.48",252.47,490.59,982.94
2011-10-30,"1,929.48",252.47,490.59,982.94
2011-10-31,"1,909.03",249.88,490.69,983.80
2011-11-01,"1,909.63",249.92,492.36,985.38
2011-11-02,"1,898.01",248.03,493.49,989.14
2011-11-03,"1,869.96",244.09,487.91,975.69
2011-11-04,"1,928.41",252.34,502.80,"1,007.51"
2011-11-05,"1,928.41",252.34,502.80,"1,007.51"
2011-11-06,"1,928.41",252.34,502.80,"1,007.51"
2011-11-07,"1,919.10",250.78,509.77,"1,021.40"
2011-11-08,"1,903.14",248.32,507.11,"1,018.32"
2011-11-09,"1,907.53",249.23,509.41,"1,020.58"
2011-11-10,"1,813.25",236.02,488.77,971.66
2011-11-11,"1,863.45",242.99,500.08,995.65
2011-11-12,"1,863.45",242.99,500.08,995.65
2011-11-13,"1,863.45",242.99,500.08,995.65
2011-11-14,"1,902.81",248.27,510.09,"1,010.12"
2011-11-15,"1,886.12",246.21,508.33,"1,004.22"
2011-11-16,"1,856.07",241.98,497.58,982.52
2011-11-17,"1,876.67",244.60,506.54,"1,000.59"
2011-11-18,"1,839.17",239.43,503.09,992.04
2011-11-19,"1,839.17",239.43,503.09,992.04
2011-11-20,"1,839.17",239.43,503.09,992.04
2011-11-21,"1,820.03",236.64,498.36,983.06
2011-11-22,"1,826.28",237.80,505.69,998.92
2011-11-23,"1,783.10",231.68,490.49,965.81
2011-11-24,"1,795.06",233.35,489.48,958.25
2011-11-25,"1,776.40",231.03,479.55,943.49
2011-11-26,"1,776.40",231.03,479.55,943.49
2011-11-27,"1,776.40",231.03,479.55,943.49
2011-11-28,"1,815.28",236.59,486.36,961.13
2011-11-29,"1,856.52",242.50,492.73,972.62
2011-11-30,"1,847.51",241.19,492.81,973.91
2011-12-01,"1,916.18",251.52,496.33,980.78
2011-12-02,"1,916.04",251.19,498.33,983.30
2011-12-03,"1,916.04",251.19,498.33,983.30
2011-12-04,"1,916.04",251.19,498.33,983.30
2011-12-05,"1,922.90",252.22,505.82,"1,000.97"
2011-12-06,"1,902.82",249.48,502.59,993.44
2011-12-07,"1,919.42",251.57,505.68,995.71
2011-12-08,"1,912.39",250.31,508.65,999.78
2011-12-09,"1,874.75",244.93,507.60,998.50
2011-12-10,"1,874.75",244.93,507.60,998.50
2011-12-11,"1,874.75",244.93,507.60,998.50
2011-12-12,"1,899.76",248.55,515.22,"1,012.54"
2011-12-13,"1,864.06",243.48,511.30,"1,004.67"
2011-12-14,"1,857.75",242.35,508.38,997.61
2011-12-15,"1,819.11",236.72,497.76,973.05
2011-12-16,"1,839.96",239.82,504.58,992.19
2011-12-17,"1,839.96",239.82,504.58,992.19
2011-12-18,"1,839.96",239.82,504.58,992.19
2011-12-19,"1,776.93",231.74,477.61,935.27
2011-12-20,"1,793.06",233.83,489.61,954.84
2011-12-21,"1,848.41",241.51,500.64,974.85
2011-12-22,"1,847.49",241.40,501.54,974.11
2011-12-23,"1,867.22",244.22,502.36,974.48
2011-12-24,"1,867.22",244.22,502.36,974.48
2011-12-25,"1,867.22",244.22,502.36,974.48
2011-12-26,"1,856.70",242.64,501.37,969.68
2011-12-27,"1,842.02",240.79,491.64,945.31
2011-12-28,"1,825.12",238.15,495.22,953.32
2011-12-29,"1,825.74",238.08,500.18,965.62
2011-12-30,"1,825.74",238.08,500.18,965.62
2011-12-31,"1,825.74",238.08,500.18,965.62
2012-01-01,"1,825.74",238.08,500.18,965.62
2012-01-02,"1,826.37",238.70,506.79,975.89
2012-01-03,"1,875.41",245.82,513.83,988.60
2012-01-04,"1,866.22",244.24,516.30,989.83
2012-01-05,"1,863.74",243.56,521.96,996.65
2012-01-06,"1,843.14",240.57,518.94,985.97
2012-01-07,"1,843.14",240.57,518.94,985.97
2012-01-08,"1,843.14",240.57,518.94,985.97
2012-01-09,"1,826.49",238.02,520.28,991.15
2012-01-10,"1,853.22",241.69,525.74,998.97
2012-01-11,"1,845.55",240.83,518.58,986.12
2012-01-12,"1,864.57",243.46,520.34,989.10
2012-01-13,"1,875.68",245.28,523.13,994.94
2012-01-14,"1,875.68",245.28,523.13,994.94
2012-01-15,"1,875.68",245.28,523.13,994.94
2012-01-16,"1,859.27",243.10,519.85,990.31
2012-01-17,"1,892.74",247.81,519.58,987.55
2012-01-18,"1,892.39",247.82,513.20,975.52
2012-01-19,"1,914.97",251.27,515.70,980.79
2012-01-20,"1,949.89",256.61,512.17,972.07
2012-01-21,"1,949.89",256.61,512.17,972.07
2012-01-22,"1,949.89",256.61,512.17,972.07
2012-01-23,"1,949.89",256.61,512.17,972.07
2012-01-24,"1,949.89",256.61,512.17,972.07
2012-01-25,"1,952.23",257.14,511.47,970.03
2012-01-26,"1,957.18",257.52,516.45,980.11
2012-01-27,"1,964.83",258.65,515.81,974.46
2012-01-28,"1,964.83",258.65,515.81,974.46
2012-01-29,"1,964.83",258.65,515.81,974.46
2012-01-30,"1,940.55",255.21,510.33,959.16
2012-01-31,"1,955.79",256.90,513.99,966.47
2012-02-01,"1,959.24",257.06,519.25,975.95
2012-02-02,"1,984.30",260.35,522.08,979.65
2012-02-03,"1,972.34",258.53,522.59,977.47
2012-02-04,"1,972.34",258.53,522.59,977.47
2012-02-05,"1,972.34",258.53,522.59,977.47
2012-02-06,"1,973.13",258.93,517.10,961.89
2012-02-07,"1,981.59",259.80,519.07,962.61
2012-02-08,"2,003.73",262.94,520.95,964.53
2012-02-09,"2,014.62",264.50,524.27,968.45
2012-02-10,"1,993.71",261.17,528.67,979.62
2012-02-11,"1,993.71",261.17,528.67,979.62
2012-02-12,"1,993.71",261.17,528.67,979.62
2012-02-13,"2,005.74",262.75,533.19,984.91
2012-02-14,"2,002.64",262.38,535.36,985.98
2012-02-15,"2,025.32",265.88,537.86,989.50
2012-02-16,"1,997.45",261.89,535.30,984.85
2012-02-17,"2,023.47",265.82,540.14,991.92
2012-02-18,"2,023.47",265.82,540.14,991.92
2012-02-19,"2,023.47",265.82,540.14,991.92
2012-02-20,"2,024.90",265.95,540.33,986.35
2012-02-21,"2,024.24",265.89,543.06,990.96
2012-02-22,"2,028.65",266.63,544.20,991.51
2012-02-23,"2,007.80",263.58,541.13,984.16
2012-02-24,"2,019.89",265.20,544.14,991.40
2012-02-25,"2,019.89",265.20,544.14,991.40
2012-02-26,"2,019.89",265.20,544.14,991.40
2012-02-27,"1,991.16",261.30,538.34,979.17
2012-02-28,"2,003.69",263.45,540.35,986.10
2012-02-29,"2,030.25",267.13,542.30,988.15
2012-03-01,"2,030.25",267.13,542.30,988.15
2012-03-02,"2,034.63",267.45,543.97,988.18
2012-03-03,"2,034.63",267.45,543.97,988.18
2012-03-04,"2,034.63",267.45,543.97,988.18
2012-03-05,"2,016.06",264.75,539.74,978.09
2012-03-06,"2,000.36",262.85,533.62,967.49
2012-03-07,"1,982.15",260.35,532.48,963.42
2012-03-08,"2,000.76",262.85,535.76,968.58
2012-03-09,"2,018.30",265.62,539.55,976.57
2012-03-10,"2,018.30",265.62,539.55,976.57
2012-03-11,"2,018.30",265.62,539.55,976.57
2012-03-12,"2,002.50",263.74,536.11,967.11
2012-03-13,"2,025.04",266.90,538.46,973.94
2012-03-14,"2,045.08",269.85,538.86,975.11
2012-03-15,"2,043.76",269.76,538.31,973.66
2012-03-16,"2,034.44",268.27,539.78,980.49
2012-03-17,"2,034.44",268.27,539.78,980.49
2012-03-18,"2,034.44",268.27,539.78,980.49
2012-03-19,"2,047.00",270.27,539.83,977.84
2012-03-20,"2,042.15",269.68,535.55,965.68
2012-03-21,"2,027.23",267.79,533.93,964.25
2012-03-22,"2,026.12",267.98,527.90,951.43
2012-03-23,"2,026.83",267.95,527.47,948.54
2012-03-24,"2,026.83",267.95,527.47,948.54
2012-03-25,"2,026.83",267.95,527.47,948.54
2012-03-26,"2,019.19",267.41,523.39,941.60
2012-03-27,"2,039.76",270.71,521.74,943.07
2012-03-28,"2,031.74",269.64,519.56,938.79
2012-03-29,"2,014.41",267.13,514.21,931.94
2012-03-30,"2,014.04",266.58,519.56,943.42
2012-03-31,"2,014.04",266.58,519.56,943.42
2012-04-01,"2,014.04",266.58,519.56,943.42
2012-04-02,"2,029.29",268.99,521.80,945.38
2012-04-03,"2,049.28",272.46,515.83,935.98
2012-04-04,"2,018.61",268.33,502.97,909.01
2012-04-05,"2,028.77",269.96,503.34,911.48
2012-04-06,"2,029.03",269.97,503.41,911.26
2012-04-07,"2,029.03",269.97,503.41,911.26
2012-04-08,"2,029.03",269.97,503.41,911.26
2012-04-09,"1,997.08",265.88,486.80,882.83
2012-04-10,"1,994.41",265.38,484.77,879.65
2012-04-11,"1,994.41",265.38,484.77,879.65
2012-04-12,"1,986.63",263.95,485.71,883.16
2012-04-13,"2,008.91",266.86,499.46,908.83
2012-04-14,"2,008.91",266.86,499.46,908.83
2012-04-15,"2,008.91",266.86,499.46,908.83
2012-04-16,"1,992.63",264.49,501.09,909.09
2012-04-17,"1,985.30",263.32,500.38,908.06
2012-04-18,"2,004.53",266.22,503.63,913.56
2012-04-19,"1,999.86",265.58,501.92,909.14
2012-04-20,"1,974.65",261.84,497.56,903.90
2012-04-21,"1,974.65",261.84,497.56,903.90
2012-04-22,"1,974.65",261.84,497.56,903.90
2012-04-23,"1,972.63",261.66,495.02,899.71
2012-04-24,"1,963.42",260.76,487.62,885.71
2012-04-25,"1,961.98",260.82,483.48,875.16
2012-04-26,"1,964.04",261.51,476.62,861.89
2012-04-27,"1,975.35",263.43,479.08,865.84
2012-04-28,"1,975.35",263.43,479.08,865.84
2012-04-29,"1,975.35",263.43,479.08,865.84
2012-04-30,"1,981.99",264.35,478.89,864.72
2012-05-01,"1,981.99",264.35,478.89,864.72
2012-05-02,"1,999.07",266.61,485.54,875.65
2012-05-03,"1,995.11",266.05,487.44,878.32
2012-05-04,"1,989.15",264.40,490.53,887.20
2012-05-05,"1,989.15",264.40,490.53,887.20
2012-05-06,"1,989.15",264.40,490.53,887.20
2012-05-07,"1,956.44",259.73,487.01,883.57
2012-05-08,"1,967.01",261.12,494.60,899.28
2012-05-09,"1,950.29",258.79,491.56,895.26
2012-05-10,"1,944.93",257.89,494.27,899.34
2012-05-11,"1,917.13",254.00,493.66,906.28
2012-05-12,"1,917.13",254.00,493.66,906.28
2012-05-13,"1,917.13",254.00,493.66,906.28
2012-05-14,"1,913.73",254.11,488.53,902.14
2012-05-15,"1,898.96",252.32,480.50,884.22
2012-05-16,"1,840.53",243.93,465.01,854.83
2012-05-17,"1,845.24",244.48,468.13,863.57
2012-05-18,"1,782.46",235.85,448.68,830.79
2012-05-19,"1,782.46",235.85,448.68,830.79
2012-05-20,"1,782.46",235.85,448.68,830.79
2012-05-21,"1,799.13",238.62,448.89,831.11
2012-05-22,"1,828.69",242.66,461.45,854.02
2012-05-23,"1,808.62",239.76,455.90,840.25
2012-05-24,"1,814.47",240.51,455.72,835.08
2012-05-25,"1,824.17",241.60,462.40,849.01
2012-05-26,"1,824.17",241.60,462.40,849.01
2012-05-27,"1,824.17",241.60,462.40,849.01
2012-05-28,"1,824.17",241.60,462.40,849.01
2012-05-29,"1,849.91",245.26,470.02,867.17
2012-05-30,"1,844.86",244.68,469.62,866.24
2012-05-31,"1,843.47",244.05,471.94,873.73
2012-06-01,"1,834.51",242.98,472.13,871.79
2012-06-02,"1,834.51",242.98,472.13,871.79
2012-06-03,"1,834.51",242.98,472.13,871.79
2012-06-04,"1,783.13",236.30,450.84,830.90
2012-06-05,"1,801.85",238.79,456.68,841.14
2012-06-06,"1,801.85",238.79,456.68,841.14
2012-06-07,"1,847.95",245.51,466.18,859.61
2012-06-08,"1,835.64",243.69,461.99,848.71
2012-06-09,"1,835.64",243.69,461.99,848.71
2012-06-10,"1,835.64",243.69,461.99,848.71
2012-06-11,"1,867.04",248.30,469.59,861.63
2012-06-12,"1,854.74",246.43,471.97,866.08
2012-06-13,"1,859.32",247.08,470.96,862.31
2012-06-14,"1,871.48",248.62,472.03,863.66
2012-06-15,"1,858.16",246.57,467.75,854.73
2012-06-16,"1,858.16",246.57,467.75,854.73
2012-06-17,"1,858.16",246.57,467.75,854.73
2012-06-18,"1,891.71",251.37,475.26,864.88
2012-06-19,"1,891.77",251.31,478.36,871.93
2012-06-20,"1,904.12",252.92,484.55,881.26
2012-06-21,"1,889.15",250.46,485.18,881.42
2012-06-22,"1,847.39",244.15,485.19,880.88
2012-06-23,"1,847.39",244.15,485.19,880.88
2012-06-24,"1,847.39",244.15,485.19,880.88
2012-06-25,"1,825.38",240.75,484.44,877.21
2012-06-26,"1,817.81",239.68,484.34,876.58
2012-06-27,"1,817.65",239.85,483.03,869.58
2012-06-28,"1,819.18",239.98,485.91,876.25
2012-06-29,"1,854.01",244.90,489.16,882.80
2012-06-30,"1,854.01",244.90,489.16,882.80
2012-07-01,"1,854.01",244.90,489.16,882.80
2012-07-02,"1,851.65",244.46,490.43,881.72
2012-07-03,"1,867.82",246.80,493.91,887.58
2012-07-04,"1,874.45",247.76,495.81,892.01
2012-07-05,"1,875.49",247.67,497.34,894.36
2012-07-06,"1,858.20",245.07,497.21,894.67
2012-07-07,"1,858.20",245.07,497.21,894.67
2012-07-08,"1,858.20",245.07,497.21,894.67
2012-07-09,"1,836.13",241.73,495.23,889.70
2012-07-10,"1,829.45",240.88,492.34,884.69
2012-07-11,"1,826.39",240.34,491.93,884.98
2012-07-12,"1,785.39",234.66,486.38,874.57
2012-07-13,"1,812.89",238.77,484.32,872.02
2012-07-14,"1,812.89",238.77,484.32,872.02
2012-07-15,"1,812.89",238.77,484.32,872.02
2012-07-16,"1,817.79",239.39,483.50,865.68
2012-07-17,"1,821.96",240.19,480.61,858.19
2012-07-18,"1,794.91",236.42,472.88,842.92
2012-07-19,"1,822.96",240.44,478.68,856.55
2012-07-20,"1,822.93",240.35,481.83,864.18
2012-07-21,"1,822.93",240.35,481.83,864.18
2012-07-22,"1,822.93",240.35,481.83,864.18
2012-07-23,"1,789.44",235.75,472.24,848.85
2012-07-24,"1,793.93",236.65,468.28,842.31
2012-07-25,"1,769.31",233.49,454.72,816.03
2012-07-26,"1,782.47",235.33,457.86,821.55
2012-07-27,"1,829.16",242.23,464.72,835.19
2012-07-28,"1,829.16",242.23,464.72,835.19
2012-07-29,"1,829.16",242.23,464.72,835.19
2012-07-30,"1,843.79",244.58,465.46,835.75
2012-07-31,"1,881.99",250.08,467.61,841.13
2012-08-01,"1,879.93",249.60,468.53,842.48
2012-08-02,"1,869.40",247.90,466.63,837.61
2012-08-03,"1,848.68",244.81,465.28,835.91
2012-08-04,"1,848.68",244.81,465.28,835.91
2012-08-05,"1,848.68",244.81,465.28,835.91
2012-08-06,"1,885.88",250.36,469.61,844.35
2012-08-07,"1,886.80",250.39,471.60,846.96
2012-08-08,"1,903.23",252.84,471.42,845.74
2012-08-09,"1,940.59",258.08,474.05,851.57
2012-08-10,"1,946.40",258.91,475.51,853.88
2012-08-11,"1,946.40",258.91,475.51,853.88
2012-08-12,"1,946.40",258.91,475.51,853.88
2012-08-13,"1,932.44",256.65,478.40,860.21
2012-08-14,"1,956.96",260.11,480.74,864.56
2012-08-15,"1,956.96",260.11,480.74,864.56
2012-08-16,"1,957.91",260.08,485.32,876.16
2012-08-17,"1,946.54",258.20,487.26,880.35
2012-08-18,"1,946.54",258.20,487.26,880.35
2012-08-19,"1,946.54",258.20,487.26,880.35
2012-08-20,"1,946.31",258.03,490.13,887.23
2012-08-21,"1,943.22",257.50,491.72,890.37
2012-08-22,"1,935.19",256.21,492.89,894.97
2012-08-23,"1,942.54",257.28,499.34,911.24
2012-08-24,"1,919.81",253.73,497.51,907.29
2012-08-25,"1,919.81",253.73,497.51,907.29
2012-08-26,"1,919.81",253.73,497.51,907.29
2012-08-27,"1,917.87",252.77,493.83,899.59
2012-08-28,"1,916.33",252.57,499.53,911.79
2012-08-29,"1,928.54",254.22,505.32,920.74
2012-08-30,"1,906.38",250.96,505.64,920.43
2012-08-31,"1,905.12",250.56,508.35,922.68
2012-09-01,"1,905.12",250.56,508.35,922.68
2012-09-02,"1,905.12",250.56,508.35,922.68
2012-09-03,"1,912.71",251.23,512.45,929.37
2012-09-04,"1,907.13",250.56,507.41,918.55
2012-09-05,"1,874.03",245.75,505.39,912.57
2012-09-06,"1,881.24",246.79,506.72,915.80
2012-09-07,"1,929.58",254.02,510.87,923.08
2012-09-08,"1,929.58",254.02,510.87,923.08
2012-09-09,"1,929.58",254.02,510.87,923.08
2012-09-10,"1,924.70",253.38,512.11,920.39
2012-09-11,"1,920.00",252.73,514.42,924.93
2012-09-12,"1,950.03",256.95,517.52,927.82
2012-09-13,"1,950.69",256.87,520.48,933.82
2012-09-14,"2,007.58",265.02,519.14,929.63
2012-09-15,"2,007.58",265.02,519.14,929.63
2012-09-16,"2,007.58",265.02,519.14,929.63
2012-09-17,"2,002.35",263.97,519.00,922.72
2012-09-18,"2,004.96",264.25,523.52,930.54
2012-09-19,"2,007.88",264.44,528.06,936.99
2012-09-20,"1,990.33",261.87,528.06,935.57
2012-09-21,"2,002.37",263.41,531.49,942.08
2012-09-22,"2,002.37",263.41,531.49,942.08
2012-09-23,"2,002.37",263.41,531.49,942.08
2012-09-24,"2,003.44",263.56,532.28,940.72
2012-09-25,"1,991.41",262.03,522.96,923.93
2012-09-26,"1,980.44",260.42,520.71,918.07
2012-09-27,"1,988.70",261.62,518.29,913.46
2012-09-28,"1,996.21",262.49,523.78,925.14
2012-09-29,"1,996.21",262.49,523.78,925.14
2012-09-30,"1,996.21",262.49,523.78,925.14
2012-10-01,"1,996.21",262.49,523.78,925.14
2012-10-02,"1,996.03",262.48,527.56,931.07
2012-10-03,"1,996.03",262.48,527.56,931.07
2012-10-04,"1,992.68",261.92,531.44,938.57
2012-10-05,"1,995.17",262.07,535.82,947.26
2012-10-06,"1,995.17",262.07,535.82,947.26
2012-10-07,"1,995.17",262.07,535.82,947.26
2012-10-08,"1,981.89",260.11,537.79,948.84
2012-10-09,"1,979.04",259.66,540.43,950.04
2012-10-10,"1,948.22",255.15,533.86,935.06
2012-10-11,"1,933.09",252.84,534.95,938.26
2012-10-12,"1,933.26",252.44,539.86,944.92
2012-10-13,"1,933.26",252.44,539.86,944.92
2012-10-14,"1,933.26",252.44,539.86,944.92
2012-10-15,"1,925.59",251.44,529.33,925.67
2012-10-16,"1,941.54",253.98,530.23,930.15
2012-10-17,"1,955.15",256.06,528.22,925.06
2012-10-18,"1,959.12",257.27,514.16,894.35
2012-10-19,"1,943.84",254.79,518.81,908.68
2012-10-20,"1,943.84",254.79,518.81,908.68
2012-10-21,"1,943.84",254.79,518.81,908.68
2012-10-22,"1,941.59",254.22,523.00,916.66
2012-10-23,"1,926.81",251.86,524.15,920.11
2012-10-24,"1,913.96",249.80,524.35,922.97
2012-10-25,"1,924.50",251.72,518.25,909.04
2012-10-26,"1,891.43",247.18,505.50,886.57
2012-10-27,"1,891.43",247.18,505.50,886.57
2012-10-28,"1,891.43",247.18,505.50,886.57
2012-10-29,"1,891.52",247.66,494.88,868.47
2012-10-30,"1,899.58",248.52,502.31,883.22
2012-10-31,"1,912.06",250.18,508.31,893.42
2012-11-01,"1,898.44",247.83,508.83,894.85
2012-11-02,"1,918.72",251.04,513.37,901.67
2012-11-03,"1,918.72",251.04,513.37,901.67
2012-11-04,"1,918.72",251.04,513.37,901.67
2012-11-05,"1,908.22",249.50,515.14,903.23
2012-11-06,"1,928.17",252.30,517.53,911.46
2012-11-07,"1,937.55",253.70,518.45,913.12
2012-11-08,"1,914.41",250.13,519.04,914.68
2012-11-09,"1,904.41",248.69,519.90,916.37
2012-11-10,"1,904.41",248.69,519.90,916.37
2012-11-11,"1,904.41",248.69,519.90,916.37
2012-11-12,"1,900.87",248.18,521.43,915.76
2012-11-13,"1,889.70",246.90,513.80,904.52
2012-11-14,"1,894.04",247.80,503.24,883.61
2012-11-15,"1,870.72",244.64,493.84,870.85
2012-11-16,"1,860.83",243.45,482.99,851.17
2012-11-17,"1,860.83",243.45,482.99,851.17
2012-11-18,"1,860.83",243.45,482.99,851.17
2012-11-19,"1,878.10",245.82,493.14,868.79
2012-11-20,"1,890.18",247.72,496.66,876.06
2012-11-21,"1,884.04",247.02,492.19,866.33
2012-11-22,"1,899.50",249.51,497.03,874.46
2012-11-23,"1,911.33",251.44,498.82,878.17
2012-11-24,"1,911.33",251.44,498.82,878.17
2012-11-25,"1,911.33",251.44,498.82,878.17
2012-11-26,"1,908.51",250.73,496.24,869.44
2012-11-27,"1,925.20",253.41,493.63,866.20
2012-11-28,"1,912.78",251.72,494.48,867.35
2012-11-29,"1,934.85",254.73,496.73,872.04
2012-11-30,"1,932.90",254.25,499.37,876.85
2012-12-01,"1,932.90",254.25,499.37,876.85
2012-12-02,"1,932.90",254.25,499.37,876.85
2012-12-03,"1,940.02",255.57,498.97,876.53
2012-12-04,"1,935.18",254.83,502.71,885.06
2012-12-05,"1,947.04",256.63,496.50,872.40
2012-12-06,"1,949.62",257.27,488.03,855.21
2012-12-07,"1,957.45",258.78,489.22,860.94
