,Last Refresh: 2024-11-24 19:29:00,
Calendar Basis,,
Portfolio, ,Default
Item, , 
Frequency,일간,KRW
Non-Trading Day,Previous,Asc
Include Weekend,ALL, 
Term,20071020,20241120
Symbol,Economy,
Symbol Name,ECO,
Kind,ECO,
Item,E11.02.003.013,
Item Name,시장금리:국고1년(%),
Frequency,D,
2008-12-02,4.66,
2008-12-03,4.51,
2008-12-04,4.53,
2008-12-05,4.41,
2008-12-06,4.41,
2008-12-07,4.41,
2008-12-08,4.41,
2008-12-09,4.35,
2008-12-10,4.38,
2008-12-11,4.09,
2008-12-12,3.99,
2008-12-13,3.99,
2008-12-14,3.99,
2008-12-15,3.97,
2008-12-16,3.8,
2008-12-17,3.78,
2008-12-18,3.76,
2008-12-19,3.73,
2008-12-20,3.73,
2008-12-21,3.73,
2008-12-22,3.76,
2008-12-23,3.74,
2008-12-24,3.6,
2008-12-25,3.6,
2008-12-26,3.52,
2008-12-27,3.52,
2008-12-28,3.52,
2008-12-29,3.47,
2008-12-30,3.26,
2008-12-31,3.26,
2009-01-01,3.26,
2009-01-02,3.24,
2009-01-03,3.24,
2009-01-04,3.24,
2009-01-05,2.99,
2009-01-06,2.93,
2009-01-07,2.96,
2009-01-08,2.74,
2009-01-09,2.79,
2009-01-10,2.79,
2009-01-11,2.79,
2009-01-12,2.79,
2009-01-13,2.73,
2009-01-14,2.63,
2009-01-15,2.73,
2009-01-16,2.74,
2009-01-17,2.74,
2009-01-18,2.74,
2009-01-19,2.61,
2009-01-20,2.63,
2009-01-21,2.55,
2009-01-22,2.54,
2009-01-23,2.52,
2009-01-24,2.52,
2009-01-25,2.52,
2009-01-26,2.52,
2009-01-27,2.52,
2009-01-28,2.48,
2009-01-29,2.49,
2009-01-30,2.53,
2009-01-31,2.53,
2009-02-01,2.53,
2009-02-02,2.59,
2009-02-03,2.55,
2009-02-04,2.46,
2009-02-05,2.48,
2009-02-06,2.42,
2009-02-07,2.42,
2009-02-08,2.42,
2009-02-09,2.41,
2009-02-10,2.38,
2009-02-11,2.28,
2009-02-12,2.2,
2009-02-13,2.12,
2009-02-14,2.12,
2009-02-15,2.12,
2009-02-16,2.14,
2009-02-17,2.27,
2009-02-18,2.19,
2009-02-19,2.19,
2009-02-20,2.27,
2009-02-21,2.27,
2009-02-22,2.27,
2009-02-23,2.3,
2009-02-24,2.37,
2009-02-25,2.56,
2009-02-26,2.55,
2009-02-27,2.54,
2009-02-28,2.54,
2009-03-01,2.54,
2009-03-02,2.54,
2009-03-03,2.47,
2009-03-04,2.44,
2009-03-05,2.46,
2009-03-06,2.43,
2009-03-07,2.43,
2009-03-08,2.43,
2009-03-09,2.43,
2009-03-10,2.39,
2009-03-11,2.42,
2009-03-12,2.39,
2009-03-13,2.44,
2009-03-14,2.44,
2009-03-15,2.44,
2009-03-16,2.47,
2009-03-17,2.46,
2009-03-18,2.48,
2009-03-19,2.49,
2009-03-20,2.5,
2009-03-21,2.5,
2009-03-22,2.5,
2009-03-23,2.59,
2009-03-24,2.63,
2009-03-25,2.61,
2009-03-26,2.64,
2009-03-27,2.64,
2009-03-28,2.64,
2009-03-29,2.64,
2009-03-30,2.68,
2009-03-31,2.7,
2009-04-01,2.64,
2009-04-02,2.62,
2009-04-03,2.61,
2009-04-04,2.61,
2009-04-05,2.61,
2009-04-06,2.63,
2009-04-07,2.62,
2009-04-08,2.59,
2009-04-09,2.57,
2009-04-10,2.56,
2009-04-11,2.56,
2009-04-12,2.56,
2009-04-13,2.52,
2009-04-14,2.45,
2009-04-15,2.41,
2009-04-16,2.39,
2009-04-17,2.35,
2009-04-18,2.35,
2009-04-19,2.35,
2009-04-20,2.35,
2009-04-21,2.36,
2009-04-22,2.39,
2009-04-23,2.4,
2009-04-24,2.39,
2009-04-25,2.39,
2009-04-26,2.39,
2009-04-27,2.43,
2009-04-28,2.43,
2009-04-29,2.46,
2009-04-30,2.53,
2009-05-01,2.53,
2009-05-02,2.53,
2009-05-03,2.53,
2009-05-04,2.62,
2009-05-05,2.62,
2009-05-06,2.62,
2009-05-07,2.66,
2009-05-08,2.66,
2009-05-09,2.66,
2009-05-10,2.66,
2009-05-11,2.67,
2009-05-12,2.61,
2009-05-13,2.61,
2009-05-14,2.55,
2009-05-15,2.55,
2009-05-16,2.55,
2009-05-17,2.55,
2009-05-18,2.52,
